,volume,open,high,low,close,caldt
262,107245,561.3501,561.54,561.3,561.41,2024-07-15 13:52:00-04:00
263,44430,561.41,561.58,561.3842,561.46,2024-07-15 13:53:00-04:00
264,36818,561.45,561.465,561.17,561.1901,2024-07-15 13:54:00-04:00
265,58618,561.21,561.28,561.15,561.19,2024-07-15 13:55:00-04:00
266,43200,561.175,561.2,560.94,560.94,2024-07-15 13:56:00-04:00
267,36589,560.95,561.17,560.95,561.12,2024-07-15 13:57:00-04:00
268,43446,561.13,561.32,561.13,561.22,2024-07-15 13:58:00-04:00
269,24295,561.16,561.2099,561.04,561.04,2024-07-15 13:59:00-04:00
270,52151,561.09,561.11,560.85,560.96,2024-07-15 14:00:00-04:00
271,58102,560.96,561.05,560.84,561.04,2024-07-15 14:01:00-04:00
272,38264,561.05,561.18,561.03,561.05,2024-07-15 14:02:00-04:00
273,29607,561.03,561.1,560.94,561.0,2024-07-15 14:03:00-04:00
274,18774,561.02,561.24,561.01,561.22,2024-07-15 14:04:00-04:00
275,24692,561.23,561.23,561.0,561.0,2024-07-15 14:05:00-04:00
276,32192,561.02,561.14,561.02,561.0324,2024-07-15 14:06:00-04:00
277,33491,561.03,561.12,560.9722,561.08,2024-07-15 14:07:00-04:00
278,14287,561.08,561.09,561.0,561.0891,2024-07-15 14:08:00-04:00
279,27842,561.085,561.2,561.08,561.1601,2024-07-15 14:09:00-04:00
280,70547,561.16,561.3,561.11,561.2901,2024-07-15 14:10:00-04:00
281,47743,561.305,561.305,561.1,561.12,2024-07-15 14:11:00-04:00
282,36320,561.13,561.18,560.9095,560.9095,2024-07-15 14:12:00-04:00
283,48306,560.9072,560.92,560.71,560.78,2024-07-15 14:13:00-04:00
284,31352,560.78,560.96,560.72,560.92,2024-07-15 14:14:00-04:00
285,149253,560.89,560.96,560.87,560.8701,2024-07-15 14:15:00-04:00
286,22106,560.88,560.92,560.835,560.85,2024-07-15 14:16:00-04:00
287,25552,560.84,560.875,560.79,560.8299,2024-07-15 14:17:00-04:00
288,20735,560.835,561.035,560.78,561.035,2024-07-15 14:18:00-04:00
289,30175,561.04,561.08,560.86,560.89,2024-07-15 14:19:00-04:00
290,22001,560.91,561.05,560.91,560.99,2024-07-15 14:20:00-04:00
291,15822,561.01,561.11,560.97,561.06,2024-07-15 14:21:00-04:00
292,48685,561.07,561.32,561.065,561.32,2024-07-15 14:22:00-04:00
293,81746,561.3202,561.56,561.3202,561.5247,2024-07-15 14:23:00-04:00
